date;speed;78;64011;64022;64033;64044;delta64011;delta64022;delta64033;delta64044;vodo;lat;lon;dir;alt;engine_speed;distance_gps;201;202;203;204;210;211;212;213;214;215;ain1;ain2
2022-06-28 10:31:51.320;7;73495821109463700;138;365;245;327;0;0;0;0;0;52.4513950;31.0330900;259;131;;0;29494;4;29887;54;29967;1;28950;30;29439;4;x;
2022-06-28 10:32:00.042;5;73539801843798159;144;368;246;337;6;3;1;10;30;52.4514033;31.0326466;269;131;;0.03007;29494;4;29887;54;29967;1;30224;50;30484;27;x;
2022-06-28 10:32:06.406;0;73539804796588670;146;368;257;337;2;0;11;0;0;52.4514066;31.0326266;269;132;;0.001405;30740;3;31023;28;29967;1;30224;50;30484;27;x;
2022-06-28 10:32:09.589;0;73539804796588670;146;368;257;337;0;0;0;0;0;52.4514066;31.0326266;269;132;;0;30740;3;31023;28;31247;52;31512;51;30484;27;x;
2022-06-28 10:32:32.457;16;73614571587286591;182;368;257;354;36;0;0;17;19;52.4514266;31.0322916;295;131;;0.022817;30740;3;31023;28;31247;52;31512;51;30484;27;x;
2022-06-28 10:32:34.300;17;73618969633798787;186;368;257;355;4;0;0;1;5;52.4514916;31.0321966;329;132;;0.009682;30740;3;31023;28;31247;52;31512;51;30484;27;x;
2022-06-28 10:32:35.425;20;73618969636162818;205;377;257;355;19;9;0;0;10;52.4515466;31.0321900;0;132;;0.006134;30740;3;31023;28;31247;52;31512;51;30484;27;x;
2022-06-28 10:32:38.097;35;73618969644295921;230;408;257;355;25;31;0;0;16;52.4517250;31.0322750;17;131;;0.020662;32255;3;31023;28;31247;52;31512;51;31885;27;x;
2022-06-28 10:32:38.363;54;73627765741252603;239;423;257;357;9;15;0;2;28;52.4518716;31.0323633;19;131;;0.01737;32255;3;31023;28;31247;52;31512;51;31885;27;x;
2022-06-28 10:32:44.722;66;73838871974850687;304;427;257;405;65;4;0;48;117;52.4528783;31.0328783;17;129;;0.117287;32255;3;32282;3;32641;28;31512;51;31885;27;x;
2022-06-28 10:32:47.925;62;73838873854166321;325;428;264;405;21;1;7;0;37;52.4533516;31.0331150;17;129;;0.055034;32255;3;32282;3;32641;28;33023;4;33034;4;x;
2022-06-28 10:32:54.347;53;73838876270621696;372;430;273;405;47;2;9;0;113;52.4542866;31.0335883;17;129;;0.108832;33339;5;33789;6;32641;28;33023;4;33034;4;x;
2022-06-28 10:32:57.660;50;73838877076194231;387;431;276;405;15;1;3;0;57;52.4546550;31.0337850;17;128;;0.04309;33339;5;33789;6;34047;7;34303;7;33034;4;x;
2022-06-28 10:33:03.925;43;73838877613332581;408;432;278;405;21;1;2;0;80;52.4553416;31.0341000;17;128;;0.079296;34595;32;33789;6;34047;7;34303;7;34316;7;x;
2022-06-28 10:33:07.355;38;73838878418643030;424;432;281;405;16;0;3;0;33;52.4557250;31.0342866;17;129;;0.04448;34595;32;34968;8;35161;33;34303;7;34316;7;x;
2022-06-28 10:33:13.523;29;73838879223956917;453;432;284;405;29;0;3;0;67;52.4561983;31.0345683;17;128;;0.055999;34595;32;34968;8;35161;33;35544;34;35621;10;x;
