date,speed,rowdata,z,y,x_m,x_p,delta64011,delta64022,delta64033,delta64044,vodo,lat,lon,dir,alt,engine_speed,distance_gps,sum_ES,mark_ind1,sum_ES_APP,mark_ind2,sum_ES_2_APP,mark_ind3,sum_ES_APP_2,mark_ind4,sum_ES_2_APP_2,mark_ind5,AnIn1,AnIn2,consum_l,consum_t
2022-09-08 08:40:02.898,2,73759663809453242,348,7,96,387,0,0,0,0,0,52.403095,31.0705766,289,117,,0.0,4530,0,1250,0,399,0,292,0,94,0,x,,0.0,0.0
2022-09-08 08:40:05.898,1,73759663809453242,348,7,96,387,0,0,0,0,0,52.40308,31.0705633,289,117,,0.001897,4711,0,1298,0,413,0,292,0,94,0,x,,0.0,0.0
2022-09-08 08:40:08.898,1,73759663809454917,355,7,96,387,7,0,0,0,0,52.403075,31.0705566,289,117,,0.000718,4891,0,1298,0,413,0,302,0,97,0,x,,5.0,0.025167727255999993
2022-09-08 08:40:11.898,1,73759663809455908,359,7,96,387,4,0,0,0,0,52.4030616,31.07057,289,117,,0.001746,4891,0,1346,0,428,0,313,0,97,0,x,,1.534847289805269,0.0008932811226666665
2022-09-08 08:40:14.898,1,73759664077891953,361,7,97,387,2,0,1,0,0,52.4030616,31.07057,289,117,,0.0,5072,0,1394,0,428,0,313,0,100,0,x,,0.0,0.0009350589839999999
2022-09-08 08:40:17.898,2,73759664077892243,362,7,97,387,1,0,0,0,0,52.4030766,31.0705416,289,117,,0.002549,5072,0,1394,0,442,0,323,0,100,0,x,,1.089157721459396,0.0009254210106666666
2022-09-08 08:40:20.898,2,73759664077894348,370,7,97,387,8,0,0,0,0,52.4030766,31.0705416,289,117,,0.0,5252,0,1443,0,442,0,323,0,103,0,x,,0.0,0.0009472658639999999
2022-09-08 08:40:23.898,0,73759664077894673,372,7,97,387,2,0,0,0,1,52.4030683,31.0705183,289,118,,0.001831,5252,0,1443,0,457,0,334,0,106,0,x,,1.567838073184052,0.0009569038373333331
2022-09-08 08:40:26.898,0,73759664077895341,374,7,97,387,2,0,0,0,0,52.4030516,31.0705566,289,118,,0.003195,5433,0,1491,0,471,0,334,0,106,0,x,,0.9292052306729264,0.0009896035706666666
2022-09-08 08:40:29.898,0,73759664077895341,374,7,97,387,0,0,0,0,0,52.4030516,31.0705783,289,118,,0.001473,5613,0,1491,0,471,0,344,0,109,0,x,,1.884767842498303,0.0009254210106666666
2022-09-08 08:40:32.902,0,73759664077895341,374,7,97,387,0,0,0,0,0,52.4029916,31.0705633,289,118,,0.006751,5613,0,1540,0,486,0,344,0,109,0,x,,0.3967062408532069,0.0008927212773333331
2022-09-08 08:40:35.902,0,73759664077896915,380,7,97,387,6,0,0,0,0,52.402965,31.0706066,289,118,,0.00417,5793,0,1540,0,486,0,355,0,112,0,x,,0.688420026858513,0.0009569038373333331
2022-09-08 08:40:38.902,0,73759664077897327,382,7,97,387,2,0,0,0,0,52.4029283,31.0705833,289,118,,0.004378,5793,0,1589,0,501,0,366,0,112,0,x,,0.6557129995431703,0.0009569038373333331
2022-09-08 08:40:41.902,0,73759664077897327,382,7,97,387,0,0,0,0,0,52.4029316,31.0706,289,118,,0.001191,5974,0,1637,0,501,0,366,0,116,0,x,,2.3541927926112507,0.0009346145386666665
2022-09-08 08:40:44.902,0,73759664077897327,382,7,97,387,0,0,0,0,0,52.4029316,31.0706,289,118,,0.0,5974,0,1637,0,515,0,377,0,116,0,x,,0.0,0.0009891591253333332
2022-09-08 08:40:47.902,2,73759664077897327,382,7,97,387,0,0,0,0,17,52.4029216,31.0705966,289,118,,0.001136,6154,0,1685,0,515,0,377,0,119,0,x,,2.6133897112676054,0.0009896035706666666
2022-09-08 08:40:50.609,7,73759664077897327,382,7,97,387,0,0,0,0,0,52.4029016,31.0706966,165,119,,0.007141,6154,0,1685,0,530,0,387,0,122,0,x,,0.36586322251785464,0.0013063146359999999
2022-09-08 08:40:53.902,5,73759664077897327,382,7,97,387,0,0,0,0,19,52.402955,31.0709233,132,120,,0.016491,6335,0,1734,0,544,0,387,0,122,0,x,,0.17232415208295435,0.0009472658639999999
2022-09-08 08:40:56.902,4,73759664077897327,382,7,97,387,0,0,0,0,10,52.4029316,31.07092,132,120,,0.002612,6515,0,1734,0,544,0,398,0,125,0,x,,1.161694208269525,0.001011448424
2022-09-08 08:40:59.902,0,73759664077897327,382,7,97,387,0,0,0,0,2,52.402915,31.07093,132,120,,0.001967,6515,0,1783,0,559,0,408,0,125,0,x,,1.3615474489069648,0.0008927212773333331
2022-09-08 08:41:02.902,0,73759664077897327,382,7,97,387,0,0,0,0,0,52.4029333,31.070905,132,121,,0.00265,6695,0,1783,0,559,0,408,0,128,0,x,,1.0106278611320754,0.0008927212773333331
2022-09-08 08:41:05.902,0,73759664077900967,396,7,97,387,14,0,0,0,0,52.4029616,31.07089,132,121,,0.003308,6695,0,1831,0,574,0,419,0,128,0,,,0.8479978694074968,0.0009350589839999999
2022-09-08 08:41:08.902,0,73759664077901637,399,7,97,387,3,0,0,0,0,52.402985,31.0708633,132,121,,0.003171,6876,0,1879,0,574,0,419,0,131,0,x,,0.8846348003784293,0.0009350589839999999
2022-09-08 08:41:11.902,0,73759664077901637,399,7,97,387,0,0,0,0,0,52.40299,31.0708633,132,121,,0.000556,6876,0,1879,0,588,0,429,0,134,0,x,,4.993278834532375,0.0009254210106666666
2022-09-08 08:41:14.902,1,73759664077901637,399,7,97,387,0,0,0,0,12,52.4029983,31.070825,132,121,,0.002758,7057,0,1927,0,602,0,429,0,134,0,x,,1.0066218390137782,0.0009254210106666666
2022-09-08 08:41:17.902,0,73759664077901637,399,7,97,387,0,0,0,0,2,52.4030066,31.0707683,132,122,,0.003957,7057,0,1927,0,602,0,440,0,137,0,x,,0.7502680596411423,0.0009896035706666666
