date;speed;78;64011;64022;64033;64044;delta64011;delta64022;delta64033;delta64044;vodo;lat;lon;dir;alt;engine_speed;distance_gps;201;202;203;204;210;211;212;213;214;215;ain1;ain2;151;146;147
2022-09-24 10:46:00.984;0;85146805804879973;592;624;2329;2976;0;0;0;0;2;52.5866066;31.2231083;303;139;;0;17352;17;18868;11;17820;6;5067;7;12180;4;311.95615514334;x;5021031699595281411;4556587245290066902;632012177889050502
2022-09-24 10:46:03.984;0;85151203851391098;592;624;2329;2977;0;0;0;1;0;52.5866066;31.2231166;303;139;;0.000561;17352;17;18868;11;17839;6;5082;7;12185;4;313.20404721754;x;5024128091850753147;4675651254928151520;632194937465487892
2022-09-24 10:46:06.984;0;85151203851391098;592;624;2329;2977;0;0;0;0;0;52.5866066;31.2231166;303;139;;0;17539;17;18926;11;17856;6;5082;7;12185;4;307.84040995608;x;5026380003339224267;4744049734398514151;632216932066083746
2022-09-24 10:46:09.984;0;85151203851391098;592;624;2329;2977;0;0;0;0;0;52.5866066;31.2231166;303;139;;0;17712;17;18926;11;17856;6;5097;7;12189;4;307.58418740849;x;5029476382709728574;4845662286890537968;632249097183839708
2022-09-24 10:46:12.984;0;85151203851391098;592;624;2329;2977;0;0;0;0;0;52.5866066;31.2231166;303;139;;0;17712;17;18982;11;17873;6;5112;7;12189;4;306.77891654466;x;5032009794945762722;4936578781677687801;632559236868425681
2022-09-24 10:46:15.984;0;85151203851391098;592;624;2329;2977;0;0;0;0;0;52.5866066;31.2231166;303;139;;0;17891;17;18982;11;17873;6;5112;7;12194;4;300.08052708638;x;5034824682158573063;5028902651348325377;632588584478067151
2022-09-24 10:46:18.984;0;85151203851391098;592;624;2329;2977;0;0;0;0;0;52.5866066;31.2231166;303;139;;0;17891;17;19039;11;17890;6;5127;7;12194;4;307.29136163982;x;5037358098689640044;5123759795809424394;632763192179968991
2022-09-24 10:46:21.984;0;85151203851391098;592;624;2329;2977;0;0;0;0;0;52.5866066;31.2231166;303;139;;0;18072;17;19098;11;17890;6;5127;7;12198;4;307.03513909224;x;5040172985902515921;5218898415247168530;632793952837651955
2022-09-24 10:46:24.984;0;85151203851391098;592;624;2329;2977;0;0;0;0;0;52.5866066;31.2231166;303;139;;0;18072;17;19098;11;17908;6;5142;7;12203;4;307.29136163982;x;5042987877410293558;5314318509661688859;632824979783962635
2022-09-24 10:46:27.984;0;85151203851391098;592;624;2329;2977;0;0;0;0;0;52.5866066;31.2231166;303;139;;0;18253;17;19156;11;17925;6;5142;7;12203;4;308.38945827233;x;5045802764623169434;5407205329285747747;633136523926327830
2022-09-24 10:46:30.984;0;85151203851391098;592;624;2329;2977;0;0;0;0;0;52.5866066;31.2231166;303;139;;0;18253;17;19156;11;17925;6;5158;7;12207;4;306.77891654466;x;5048336181154301950;5500373623886582828;633167099899040812
2022-09-24 10:46:33.984;0;85151203851391098;592;624;2329;2977;0;0;0;0;0;52.5866066;31.2231166;303;139;;0;18431;17;19214;11;17942;6;5158;7;12207;4;307.84040995608;x;5051151068367177827;5594386343417484340;633341836449830464
2022-09-24 10:46:36.984;0;85151203851391098;592;624;2329;2977;0;0;0;0;11;52.5865416;31.2232400;141;141;;0.011037;18611;17;19214;11;17942;6;5173;7;12212;4;308.09663250366;x;5053965959875086536;5690932342033814589;633374031629736045
2022-09-24 10:46:39.984;0;85155601897902171;592;624;2329;2978;0;0;0;1;0;52.5865383;31.2232400;158;141;;0.000367;18611;17;19273;11;17960;6;5189;7;12212;4;307.29136163982;x;5056780851382995245;5788322761285309510;633406243989904023
2022-09-24 10:46:42.984;0;85155601897902171;592;624;2329;2978;0;0;0;0;0;52.5865383;31.2232400;158;141;;0;18793;17;19331;11;17960;6;5189;7;12216;4;307.03513909224;x;5059595742890772883;5884305805653185615;633718679391460524
2022-09-24 10:46:45.984;0;85155601897902171;592;624;2329;2978;0;0;0;0;0;52.5865383;31.2232400;158;141;;0;18793;17;19331;11;17978;6;5204;7;12216;4;307.58418740849;x;5062129155126938103;5976911150300599383;633611339668283065
2022-09-24 10:46:48.984;0;85155601897902171;592;624;2329;2978;0;0;0;0;1;52.5865383;31.2232400;158;141;;0;18972;17;19388;11;17978;6;5204;7;12221;4;307.84040995608;x;5064944042339748443;6069235019971236960;633922608931954881
2022-09-24 10:46:51.984;0;85155601897902171;592;624;2329;2978;0;0;0;0;0;52.5865383;31.2232400;158;141;;0;18972;17;19388;11;17995;6;5219;7;12225;4;308.09663250366;x;5067758933847657152;6163529214478914664;633953631582642908
2022-09-24 10:46:54.984;0;85155601897902171;592;624;2329;2978;0;0;0;0;0;52.5865383;31.2232400;158;141;;0;19152;17;19447;11;18012;6;5219;7;12225;4;305.68081991215;x;5070573825355500324;6257823413281494129;633984594103788789
2022-09-24 10:46:57.984;3;85155601897902171;592;624;2329;2978;0;0;0;0;0;52.5865383;31.2232400;127;141;;0;19332;17;19447;11;18012;6;5235;7;12230;4;308.09663250366;x;5073388716863343499;6357465632346674298;634298792543872803
2022-09-24 10:47:00.984;0;85155601897902171;592;624;2329;2978;0;0;0;0;0;52.5865383;31.2232400;158;141;;0;19332;17;19506;11;18030;6;5235;7;12230;4;307.29136163982;x;5076203608371252208;6454856055893136514;634193535885863244
2022-09-24 10:47:03.984;0;85155602166338011;593;624;2330;2978;1;0;1;0;0;52.5865383;31.2232400;158;141;;0;19514;17;19506;11;18030;6;5251;7;12234;4;308.9019033675;x;5079018495584062550;6550276150307591307;634505642671237980
2022-09-24 10:47:06.984;0;85155602166338011;593;624;2330;2978;0;0;0;0;0;52.5865383;31.2232400;158;141;;0;19514;17;19564;11;18048;6;5266;7;12234;4;307.58418740849;x;5081833391386938557;6653577548364977300;634540328939908518
2022-09-24 10:47:09.984;0;85155602166338011;593;624;2330;2978;0;0;0;0;0;52.5865383;31.2232400;158;141;;0;19698;17;19625;11;18048;6;5266;7;12239;4;305.16837481698;x;5084648287189814565;6758286321305916573;634574684496228327
2022-09-24 10:47:12.984;0;85155602166338011;593;624;2330;2978;0;0;0;0;10;52.5864483;31.2232800;119;152;;0.010369;19698;17;19625;11;18067;6;5282;7;12244;4;307.58418740849;x;5087463174402559370;6853424936448693413;634748819751137772
2022-09-24 10:47:15.984;3;85155602166338011;593;624;2330;2978;0;0;0;0;2;52.5864350;31.2232700;157;154;;0.001626;19873;17;19681;11;18067;6;5282;7;12244;4;307.58418740849;x;5090278065910468077;6951659780630320302;634781577573659662
