date,speed,rowdata,z,y,x_m,x_p,delta64011,delta64022,delta64033,delta64044,vodo,lat,lon,dir,alt,engine_speed,distance_gps,sum_ES,mark_ind1,sum_ES_APP,mark_ind2,sum_ES_2_APP,mark_ind3,sum_ES_APP_2,mark_ind4,sum_ES_2_APP_2,mark_ind5,AnIn1,AnIn2,consum_l,consum_t
2022-08-16 08:07:47.000,0,72246728600787636,,,,,0,0,0,0,,52.38442,31.3409783,172,-24,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:07:50.000,0,72246728600787636,,,,,0,0,0,0,,52.38442,31.3409783,172,-24,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:07:53.000,0,72246728822823467,,,,,0,0,0,0,,52.38442,31.340975,172,-24,0,0.000224,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:07:56.000,0,72246728600787636,,,,,0,0,0,0,,52.3843083,31.34093,172,-10,0,0.012794,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:07:59.000,0,72246728600787636,,,,,0,0,0,0,,52.3843083,31.34093,172,-10,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:08:02.000,0,72246728600787636,,,,,0,0,0,0,,52.383015,31.3402383,172,152,0,0.15132,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:08:05.000,0,72246728600787636,,,,,0,0,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:08:08.000,0,72246728822561382,,,,,0,0,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:08:11.000,0,72246728600787636,794.0,155.0,69.0,43.0,794,155,69,43,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:08:14.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,0,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:08:17.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,0,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:08:20.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,0,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:08:23.000,0,72246728822561382,794.0,1001.0,69.0,43.0,0,846,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:08:26.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,-846,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:08:29.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,0,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:08:32.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,0,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:08:35.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,0,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:08:38.000,0,72246728822561382,794.0,1001.0,69.0,43.0,0,846,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:08:41.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,-846,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:08:44.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,0,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:08:47.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,0,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:08:50.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,0,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:08:53.000,0,72246728822561382,794.0,1001.0,69.0,43.0,0,846,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:08:56.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,-846,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:08:59.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,0,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:09:02.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,0,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:09:05.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,0,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:09:08.000,0,72246728822561382,794.0,1001.0,69.0,43.0,0,846,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:09:11.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,-846,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:09:14.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,0,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:09:17.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,0,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:09:20.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,0,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:09:23.000,0,72246728822561382,794.0,1001.0,69.0,43.0,0,846,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:09:26.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,-846,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:09:29.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,0,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
2022-08-16 08:09:32.000,0,72246728600787636,794.0,155.0,69.0,43.0,0,0,0,0,,52.383015,31.3402383,172,152,0,0.0,202,0,246,0,130,0,307,0,166,0,x,,0.0,0.0
