date;speed;78;64011;64022;64033;64044;delta64011;delta64022;delta64033;delta64044;vodo;lat;lon;dir;alt;engine_speed;distance_gps;201;202;203;204;210;211;212;213;214;215;ain1;ain2
2022-06-28 10:31:52.000;12;72061992890270568;3;2;3;1;0;0;0;0;;52.4514600;31.0330316;271;120;0;0;0;0;0;0;0;0;0;0;0;0;x;
2022-06-28 10:32:00.000;0;72110372476159195;4;4;7;12;1;2;4;11;;52.4514383;31.0326300;270;121;0;0.027329;21;26;278;2;0;0;0;0;0;0;x;
2022-06-28 10:32:07.000;0;72110374623642809;4;4;15;12;0;0;8;0;;52.4514366;31.0326316;270;121;0;0.000218;21;26;278;2;601;27;784;52;0;0;x;
2022-06-28 10:32:31.000;19;72158753135264905;4;4;15;23;0;0;0;11;;52.4514216;31.0323883;282;120;0;0.016576;1343;27;278;2;601;27;784;52;1044;51;x;
2022-06-28 10:32:32.000;19;72176345321310704;9;4;15;27;5;0;0;4;;52.4514400;31.0323133;302;120;0;0.00548;1343;27;278;2;1876;29;784;52;1044;51;x;
2022-06-28 10:32:33.000;21;72185141414595381;11;5;15;29;2;1;0;2;;52.4514766;31.0322516;325;121;0;0.005836;1343;27;278;2;1876;29;784;52;1044;51;x;
2022-06-28 10:32:34.000;21;72185141415906696;13;10;15;29;2;5;0;0;;52.4515266;31.0322166;344;122;0;0.006046;1343;27;278;2;1876;29;784;52;1044;51;x;
2022-06-28 10:32:36.000;28;72185141418790863;15;21;15;29;2;11;0;0;;52.4516533;31.0322216;4;122;0;0.014096;1343;27;278;2;1876;29;784;52;1044;51;x;
2022-06-28 10:32:37.000;36;72193937521777914;28;59;15;31;13;38;0;2;;52.4517466;31.0322533;7;123;0;0.010598;1343;27;1680;28;1876;29;784;52;1044;51;x;
2022-06-28 10:32:40.000;70;72290694546071558;32;63;15;53;4;4;0;22;;52.4521916;31.0325450;17;127;0;0.053299;1343;27;1680;28;1876;29;2303;3;2559;3;x;
2022-06-28 10:32:47.000;62;72405045367027422;54;67;21;79;22;4;6;26;;52.4533566;31.0330766;17;126;0;0.134495;2815;3;2879;3;1876;29;2303;3;2559;3;x;
2022-06-28 10:32:50.000;58;72405046709468626;61;68;26;79;7;1;5;0;;52.4537933;31.0333016;16;124;0;0.05091;2815;3;2879;3;3111;4;3405;5;2559;3;x;
2022-06-28 10:32:56.000;51;72405048857480630;77;70;34;79;16;2;8;0;;52.4545750;31.0336900;17;125;0;0.090844;3988;6;2879;3;3111;4;3405;5;3603;30;x;
2022-06-28 10:33:00.000;48;72405049663050851;84;71;37;79;7;1;3;0;;52.4549250;31.0338750;17;125;0;0.040899;3988;6;4113;31;4500;7;3405;5;3603;30;x;
2022-06-28 10:33:06.000;39;72405050468358757;90;71;40;79;6;0;3;0;;52.4556683;31.0342133;17;125;0;0.085795;3988;6;4113;31;4500;7;4720;32;5119;33;;
2022-06-28 10:33:09.000;35;72405050737057326;94;72;41;79;4;1;1;0;;52.4559366;31.0343683;17;128;0;0.031637;5152;33;5458;9;4500;7;4720;32;5119;33;x;
2022-06-28 10:33:15.000;26;72405051542366568;105;72;44;79;11;0;3;0;;52.4563683;31.0345983;17;127;0;0.050484;5152;33;5458;9;5887;34;6143;34;5119;33;x;
2022-06-28 10:33:19.000;17;72405052079238945;111;72;46;79;6;0;2;0;;52.4565666;31.0347050;17;127;0;0.023212;6655;34;5458;9;5887;34;6143;34;6399;34;x;
2022-06-28 10:33:25.000;39;72449032813048185;113;73;47;89;2;1;1;10;;52.4569350;31.0348966;17;127;0;0.042984;6655;34;6911;34;7053;34;6143;34;6399;34;x;
2022-06-28 10:33:28.000;44;72515003510716313;119;73;47;104;6;0;0;15;;52.4572416;31.0350616;16;124;0;0.035889;6655;34;6911;34;7053;34;7189;35;7481;36;x;
2022-06-28 10:33:35.000;47;72519401557755610;134;75;47;105;15;2;0;1;;52.4578883;31.0353716;14;121;0;0.074936;7695;12;7975;37;7053;34;7189;35;7481;36;x;
2022-06-28 10:33:38.000;48;72519401826191995;138;75;48;105;4;0;1;0;;52.4584016;31.0355516;16;130;0;0.058381;7695;12;7975;37;8274;38;8562;14;7481;36;x;
2022-06-28 10:33:44.000;39;72519402094891727;146;76;49;105;8;1;1;0;;52.4590366;31.0359100;17;135;0;0.074689;9008;39;7975;37;8274;38;8562;14;8959;39;x;
2022-06-28 10:33:47.000;35;72519402632025601;150;77;51;105;4;1;2;0;;52.4592850;31.0360416;20;134;0;0.029033;9008;39;9240;64;9541;63;8562;14;8959;39;x;
2022-06-28 10:33:54.000;18;72519403168897509;153;77;53;105;3;0;2;0;;52.4596866;31.0363133;23;133;0;0.048315;9008;39;9240;64;9541;63;9863;12;10239;62;x;
