date;speed;78;64011;64022;64033;64044;delta64011;delta64022;delta64033;delta64044;vodo;lat;lon;dir;alt;engine_speed;distance_gps;201;202;203;204;210;211;212;213;214;215;ain1;ain2
2022-08-16 08:15:00.000;0;72607369220011347;821;155;72;125;0;0;0;0;;52.3830150;31.3402383;172;152;0;0;212;0;251;0;132;0;309;0;167;0;x;
2022-08-16 08:15:03.000;0;72607369220011347;821;155;72;125;0;0;0;0;;52.3830150;31.3402383;172;152;0;0;212;0;251;0;132;0;309;0;167;0;x;
2022-08-16 08:15:06.000;0;72607369220012015;823;155;72;125;2;0;0;0;;52.3830150;31.3402383;172;152;0;0;214;0;252;0;132;0;309;0;167;0;x;
2022-08-16 08:15:09.000;0;72607369220012206;824;155;72;125;1;0;0;0;;52.3830150;31.3402383;172;152;0;0;214;0;252;0;132;0;310;0;167;0;x;
2022-08-16 08:15:12.000;0;72607369220017076;843;155;72;125;19;0;0;0;;52.3830150;31.3402383;172;152;0;0;216;0;253;0;132;0;310;0;167;0;x;
2022-08-16 08:15:15.000;0;72607369220017076;843;155;72;125;0;0;0;0;;52.3830150;31.3402383;172;152;0;0;217;0;253;0;132;0;310;0;167;0;x;
2022-08-16 08:15:18.000;0;72607369220017513;845;155;72;125;2;0;0;0;;52.3830150;31.3402383;172;152;0;0;217;0;254;0;133;0;311;0;167;0;x;
2022-08-16 08:15:21.000;8;72611767266530583;853;155;72;126;8;0;0;1;;52.3830100;31.3401516;176;147;0;0.005912;219;0;256;0;133;0;311;0;167;0;x;
2022-08-16 08:15:24.000;10;72624961406068683;871;155;72;129;18;0;0;3;;52.3829383;31.3401633;169;147;0;0.008014;219;0;256;0;134;0;314;0;167;0;x;
2022-08-16 08:15:27.000;11;72624961406078654;910;155;72;129;39;0;0;0;;52.3828633;31.3402083;147;147;0;0.008884;223;0;261;0;134;0;314;0;169;0;x;
2022-08-16 08:15:30.000;15;72624961406342720;918;156;72;129;8;1;0;0;;52.3827950;31.3403466;111;147;0;0.012078;223;0;261;0;138;0;323;0;175;0;x;
2022-08-16 08:15:33.000;15;72624961406873000;941;158;72;129;23;2;0;0;;52.3827766;31.3405300;100;148;0;0.012618;226;0;265;0;139;0;323;0;175;0;x;
2022-08-16 08:15:36.000;21;72624961675576702;965;159;73;129;24;1;1;0;;52.3827833;31.3407583;85;148;0;0.015517;229;0;265;0;139;0;326;0;177;0;x;
2022-08-16 08:15:39.000;28;72629359722090915;977;159;73;130;12;0;0;1;;52.3828033;31.3410650;86;148;0;0.020941;229;0;270;0;142;0;339;0;177;0;x;
2022-08-16 08:15:42.000;33;72638155815379561;994;160;73;132;17;1;0;2;;52.3828333;31.3414450;84;147;0;0.026013;232;0;270;0;142;0;339;0;185;0;x;
2022-08-16 08:15:45.000;34;72638155815393293;24;161;73;132;-970;1;0;0;;52.3828650;31.3418666;83;147;0;0.028839;232;0;278;0;147;0;347;0;185;0;x;
2022-08-16 08:15:48.000;33;72638156083835987;52;161;74;132;28;0;1;0;;52.3828900;31.3422750;85;146;0;0.027866;236;0;281;0;147;0;347;0;189;0;x;
2022-08-16 08:15:51.000;37;72638156084102584;69;162;74;132;17;1;0;0;;52.3829016;31.3427016;90;145;0;0.028991;236;0;281;0;149;0;355;0;194;0;x;
2022-08-16 08:15:54.000;40;72642554130618567;88;162;74;133;19;0;0;1;;52.3829316;31.3432016;87;144;0;0.034109;239;0;288;0;153;0;355;0;194;0;x;
2022-08-16 08:15:57.000;43;72642554130622759;105;162;74;133;17;0;0;0;;52.3829450;31.3437116;87;145;0;0.034656;243;0;288;0;153;0;367;0;202;0;x;
2022-08-16 08:16:00.000;48;72642554130630800;136;162;74;133;31;0;0;0;;52.3829683;31.3442983;87;143;0;0.039916;243;0;297;0;160;0;367;0;202;0;x;
2022-08-16 08:16:03.000;50;72642554130636686;159;162;74;133;23;0;0;0;;52.3829816;31.3449400;87;142;0;0.04359;247;0;297;0;160;0;386;0;213;0;x;
2022-08-16 08:16:06.000;49;72642554399082652;200;162;75;133;41;0;1;0;;52.3830066;31.3455283;86;141;0;0.040037;247;0;303;0;163;0;388;0;213;0;x;
2022-08-16 08:16:09.000;50;72642554667521777;214;162;76;133;14;0;1;0;;52.3829783;31.3461733;86;141;0;0.043902;250;0;308;0;163;0;388;0;215;0;x;
2022-08-16 08:16:12.000;50;72642554667530643;249;162;76;133;35;0;0;0;;52.3830283;31.3467716;82;135;0;0.040998;250;0;308;0;165;0;397;0;221;0;x;
2022-08-16 08:16:15.000;54;72642554667535263;267;162;76;133;18;0;0;0;;52.3830916;31.3473983;87;135;0;0.043125;253;0;315;0;170;0;397;0;221;0;x;
2022-08-16 08:16:18.000;56;72642554667540636;288;162;76;133;21;0;0;0;;52.3831050;31.3480900;87;135;0;0.046983;253;0;315;0;170;0;410;0;228;0;x;
2022-08-16 08:16:21.000;56;72642554667807366;306;163;76;133;18;1;0;0;;52.3831366;31.3487916;87;132;0;0.047761;257;0;321;0;174;0;410;0;228;0;x;
2022-08-16 08:16:24.000;57;72642554667817505;346;163;76;133;40;0;0;0;;52.3831416;31.3495016;86;132;0;0.048205;260;0;321;0;174;0;420;0;233;0;x;
2022-08-16 08:16:27.000;56;72642554667823008;367;163;76;133;21;0;0;0;;52.3831733;31.3501850;86;132;0;0.04653;260;0;328;0;177;0;428;0;233;0;x;
2022-08-16 08:16:30.000;56;72642554667825151;375;163;76;133;8;0;0;0;;52.3831950;31.3508816;86;131;0;0.047354;264;0;334;0;177;0;428;0;239;0;x;
2022-08-16 08:16:33.000;57;72642554667830807;398;163;76;133;23;0;0;0;;52.3832316;31.3515800;86;131;0;0.047589;264;0;334;0;181;0;437;0;244;0;x;
2022-08-16 08:16:36.000;58;72642554936270945;416;163;77;133;18;0;1;0;;52.3832566;31.3522816;86;131;0;0.047713;268;0;340;0;181;0;437;0;244;0;x;
2022-08-16 08:16:39.000;58;72642554936536163;428;164;77;133;12;1;0;0;;52.3832733;31.3529933;87;131;0;0.048353;268;0;340;0;185;0;444;0;248;0;x;
2022-08-16 08:16:42.000;58;72642554936542840;454;164;77;133;26;0;0;0;;52.3833033;31.3537216;85;131;0;0.049557;271;0;345;0;188;0;444;0;248;0;x;
2022-08-16 08:16:45.000;57;72642554936547259;471;164;77;133;17;0;0;0;;52.3833266;31.3544166;86;130;0;0.047255;275;0;345;0;188;0;451;0;252;0;x;
2022-08-16 08:16:48.000;57;72642554936555416;503;164;77;133;32;0;0;0;;52.3833533;31.3551100;86;129;0;0.047168;275;0;350;0;191;0;457;0;252;0;x;
2022-08-16 08:16:51.000;56;72642554936561095;525;164;77;133;22;0;0;0;;52.3833650;31.3558083;86;127;0;0.047425;278;0;356;0;191;0;457;0;255;0;x;
2022-08-16 08:16:54.000;56;72642555205268189;562;165;78;133;37;1;1;0;;52.3833916;31.3564966;86;128;0;0.046822;278;0;356;0;194;0;463;0;255;0;x;
2022-08-16 08:16:57.000;56;72642555205273691;584;165;78;133;22;0;0;0;;52.3834283;31.3571883;86;127;0;0.047136;282;0;361;0;194;0;463;0;259;0;x;
2022-08-16 08:17:00.000;56;72642555205278104;601;165;78;133;17;0;0;0;;52.3834416;31.3578933;86;126;0;0.047885;282;0;361;0;198;0;469;0;263;0;x;
2022-08-16 08:17:03.000;56;72642555205542313;609;166;78;133;8;1;0;0;;52.3834716;31.3585800;86;127;0;0.046739;286;0;366;0;201;0;469;0;263;0;x;
2022-08-16 08:17:06.000;56;72642555205545226;621;166;78;133;12;0;0;0;;52.3834933;31.3592783;87;128;0;0.047469;289;0;366;0;201;0;476;0;267;0;x;
2022-08-16 08:17:09.000;57;72642555205548200;632;166;78;133;11;0;0;0;;52.3835250;31.3599800;86;126;0;0.047768;289;0;372;0;205;0;485;0;267;0;x;
2022-08-16 08:17:12.000;58;72642555205552348;648;166;78;133;16;0;0;0;;52.3835483;31.3606783;84;128;0;0.047478;293;0;378;0;205;0;485;0;272;0;x;
2022-08-16 08:17:15.000;58;72642555205555806;662;166;78;133;14;0;0;0;;52.3835666;31.3614033;83;128;0;0.049262;293;0;378;0;208;0;492;0;272;0;x;
2022-08-16 08:17:18.000;58;72642555205557630;669;166;78;133;7;0;0;0;;52.3835916;31.3621216;84;129;0;0.048844;296;0;384;0;208;0;492;0;277;0;x;
2022-08-16 08:17:21.000;58;72642555205560899;682;166;78;133;13;0;0;0;;52.3836316;31.3628150;85;129;0;0.047284;296;0;384;0;211;0;499;0;281;0;x;
2022-08-16 08:17:24.000;58;72642555205832316;718;167;78;133;36;1;0;0;;52.3836749;31.3635350;82;131;0;0.049117;300;0;389;0;215;0;499;0;281;0;x;
2022-08-16 08:17:27.000;57;72642555205836513;734;167;78;133;16;0;0;0;;52.3836966;31.3642500;84;131;0;0.048601;300;0;389;0;215;0;505;0;284;0;x;
2022-08-16 08:17:30.000;57;72642555205840317;749;167;78;133;15;0;0;0;;52.3837250;31.3649400;83;133;0;0.04695;304;0;394;0;218;0;511;0;284;0;x;
2022-08-16 08:17:33.000;56;72642555205841283;753;167;78;133;4;0;0;0;;52.3837433;31.3656400;85;133;0;0.047566;307;0;394;0;218;0;511;0;288;0;x;
2022-08-16 08:17:36.000;56;72642555205844674;766;167;78;133;13;0;0;0;;52.3837716;31.3663300;89;135;0;0.046949;307;0;399;0;221;0;516;0;288;0;x;
2022-08-16 08:17:39.000;56;72642555205847022;775;167;78;133;9;0;0;0;;52.3837983;31.3670033;85;134;0;0.045806;311;0;404;0;221;0;516;0;291;0;x;
2022-08-16 08:17:42.000;55;72642555205851186;792;167;78;133;17;0;0;0;;52.3838083;31.3676816;86;133;0;0.046063;311;0;404;0;223;0;521;0;294;0;x;
